"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 17 22:17:36 GMT 2024","Sun Mar 17 22:17:39 GMT 2024","2538","","Search in Google Playwright Library and check image commandline","","Search Playwright in google 4","","Search Playwright in google 4",""
"passed","Sun Mar 17 22:17:20 GMT 2024","Sun Mar 17 22:17:36 GMT 2024","15694","","Search in Google Playwright Library and check image commandline","","Search Playwright in google 1","","Search Playwright in google 1",""
"passed","Sun Mar 17 22:17:20 GMT 2024","Sun Mar 17 22:17:36 GMT 2024","16015","","Search in Google Playwright Library and check image commandline 3","","Search Playwright in google 3","","Search Playwright in google 3",""
"passed","Sun Mar 17 22:17:36 GMT 2024","Sun Mar 17 22:17:39 GMT 2024","2618","","Search in Google Playwright Library and check image commandline","","Search Playwright in google 5","","Search Playwright in google 5",""
"passed","Sun Mar 17 22:17:36 GMT 2024","Sun Mar 17 22:17:39 GMT 2024","2432","","Search in Google Playwright Library and check image commandline","","Search Playwright in google 6","","Search Playwright in google 6",""
"passed","Sun Mar 17 22:17:20 GMT 2024","Sun Mar 17 22:17:36 GMT 2024","15633","","Search in Google Playwright Library and check image commandline 2","","Search Playwright in google 2","","Search Playwright in google 2",""
