"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 12 20:37:29 GMT 2024","Fri Jan 12 20:37:34 GMT 2024","5229","","Search in Google Playwright Library and check image commandline","","Search Playwright in google 1","","Search Playwright in google 1",""
"passed","Fri Jan 12 20:37:29 GMT 2024","Fri Jan 12 20:37:34 GMT 2024","4929","","Search in Google Playwright Library and check image commandline 3","","Search Playwright in google 3","","Search Playwright in google 3",""
"passed","Fri Jan 12 20:37:29 GMT 2024","Fri Jan 12 20:37:34 GMT 2024","5054","","Search in Google Playwright Library and check image commandline 2","","Search Playwright in google 2","","Search Playwright in google 2",""
