"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 16 09:15:41 GMT 2024","Tue Jan 16 09:15:47 GMT 2024","5764","","Search in Google Playwright Library and check image commandline 2","","Search Playwright in google 2","","Search Playwright in google 2",""
"passed","Tue Jan 16 09:15:41 GMT 2024","Tue Jan 16 09:15:47 GMT 2024","5711","","Search in Google Playwright Library and check image commandline 3","","Search Playwright in google 3","","Search Playwright in google 3",""
"passed","Tue Jan 16 09:15:41 GMT 2024","Tue Jan 16 09:15:47 GMT 2024","5643","","Search in Google Playwright Library and check image commandline","","Search Playwright in google 1","","Search Playwright in google 1",""
