"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 12 17:51:14 GMT 2024","Fri Jan 12 17:51:19 GMT 2024","5253","","Search in Google Playwright Library and check image commandline","","Search Playwright in google 1","","Search Playwright in google 1",""
"passed","Fri Jan 12 17:51:14 GMT 2024","Fri Jan 12 17:51:20 GMT 2024","5496","","Search in Google Playwright Library and check image commandline 2","","Search Playwright in google 2","","Search Playwright in google 2",""
"passed","Fri Jan 12 17:51:14 GMT 2024","Fri Jan 12 17:51:19 GMT 2024","5185","","Search in Google Playwright Library and check image commandline 3","","Search Playwright in google 3","","Search Playwright in google 3",""
