"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 03 19:40:08 GMT 2024","Sat Feb 03 19:40:10 GMT 2024","2351","","Search in Google Playwright Library and check image commandline","","Search Playwright in google 4","","Search Playwright in google 4",""
"passed","Sat Feb 03 19:39:53 GMT 2024","Sat Feb 03 19:40:08 GMT 2024","14658","","Search in Google Playwright Library and check image commandline 2","","Search Playwright in google 2","","Search Playwright in google 2",""
"passed","Sat Feb 03 19:39:53 GMT 2024","Sat Feb 03 19:40:08 GMT 2024","14789","","Search in Google Playwright Library and check image commandline 3","","Search Playwright in google 3","","Search Playwright in google 3",""
"passed","Sat Feb 03 19:39:53 GMT 2024","Sat Feb 03 19:40:08 GMT 2024","14744","","Search in Google Playwright Library and check image commandline","","Search Playwright in google 1","","Search Playwright in google 1",""
"passed","Sat Feb 03 19:40:08 GMT 2024","Sat Feb 03 19:40:10 GMT 2024","2275","","Search in Google Playwright Library and check image commandline","","Search Playwright in google 5","","Search Playwright in google 5",""
"passed","Sat Feb 03 19:40:08 GMT 2024","Sat Feb 03 19:40:11 GMT 2024","2330","","Search in Google Playwright Library and check image commandline","","Search Playwright in google 6","","Search Playwright in google 6",""
