"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 12 18:03:24 GMT 2024","Fri Jan 12 18:03:29 GMT 2024","5199","","Search in Google Playwright Library and check image commandline 3","","Search Playwright in google 3","","Search Playwright in google 3",""
"passed","Fri Jan 12 18:03:24 GMT 2024","Fri Jan 12 18:03:29 GMT 2024","5118","","Search in Google Playwright Library and check image commandline","","Search Playwright in google 1","","Search Playwright in google 1",""
"passed","Fri Jan 12 18:03:24 GMT 2024","Fri Jan 12 18:03:29 GMT 2024","5284","","Search in Google Playwright Library and check image commandline 2","","Search Playwright in google 2","","Search Playwright in google 2",""
